"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2022","31,502.0","32,390.0","32,390.0","31,502.0","1.45M","-1.25%"
"11/18/2022","31,902.0","31,635.0","31,990.0","30,171.0","1.56M","0.84%"
"11/17/2022","31,635.0","32,124.0","32,390.0","31,502.0","1.68M","-0.14%"
"11/16/2022","31,680.0","28,308.0","31,680.0","27,997.0","1.81M","6.89%"
"11/15/2022","29,639.0","31,059.0","31,724.0","29,639.0","2.13M","-6.96%"
"11/14/2022","31,857.0","31,591.0","32,745.0","30,970.0","1.50M","-0.28%"
"11/11/2022","31,946.0","31,946.0","32,390.0","31,414.0","2.44M","3.75%"
"11/10/2022","30,792.0","31,902.0","31,902.0","29,861.0","2.82M","-4.01%"
"11/09/2022","32,079.0","31,147.0","32,656.0","31,103.0","5.07M","3.58%"
"11/08/2022","30,970.0","29,284.0","31,059.0","29,284.0","3.47M","4.81%"
"11/07/2022","29,550.0","29,106.0","30,260.0","29,106.0","1.78M","0.00%"
"11/04/2022","29,550.0","29,284.0","29,861.0","27,997.0","2.68M","0.91%"
"11/03/2022","29,284.0","29,417.0","29,994.0","29,284.0","1.27M","-2.08%"
"11/02/2022","29,905.0","30,216.0","30,482.0","29,772.0","1.49M","-1.03%"
"11/01/2022","30,216.0","30,704.0","31,192.0","30,171.0","1.82M","-1.44%"
"10/31/2022","30,659.0","29,994.0","30,926.0","29,905.0","3.00M","2.22%"
"10/28/2022","29,994.0","30,437.0","31,014.0","29,994.0","2.37M","-0.30%"
"10/27/2022","30,083.0","28,219.0","30,083.0","28,219.0","2.29M","6.94%"
"10/26/2022","28,130.0","27,953.0","28,840.0","27,775.0","770.80K","1.28%"
"10/25/2022","27,775.0","26,622.0","28,796.0","26,001.0","1.65M","3.13%"
"10/24/2022","26,932.0","29,240.0","29,240.0","26,932.0","1.55M","-6.90%"
"10/21/2022","28,929.0","29,417.0","29,417.0","28,485.0","1.87M","-1.66%"
"10/20/2022","29,417.0","28,929.0","30,171.0","28,840.0","1.66M","0.45%"
"10/19/2022","29,284.0","29,106.0","29,728.0","28,751.0","848.89K","0.61%"
